Location Category,Location,,Question,Options,Author
Canteen,        LG1,,Is there any bread for selling?,Yes/No,Chen Zhao
Canteen,        LG1,,How many people in the current queue?,Many/Few/Almost None,Liu Zheng
Canteen,        LG1,,How many egg tarts left?,A lot/Few/None,Chen Zhao
Canteen,        LG1,,How many empty tables?,A lot/Few/None,Liu Zheng
Canteen,        LG1,,Is LG1 open at present?,Yes/No,Liu Zheng
Canteen,        LG7,,What are the two-choice meals today?,A picture regarding the menu/A menu list,Yongxin
Canteen,        LG7,,How many people in the current queue?,A lot/Few/None,Liu Zheng
Canteen,        LG7,,How many empty tables?,A lot/Few/None,Liu Zheng
Canteen,        LG7,,How many people waiting for the sarad in Milano,A lot/Few/None,Liu Zheng
Canteen,        Cafe,,Is there any empty seat inside now?,Yes/No,Yongxin
Canteen,        Cafe,,How many people in the current queue?,Many/Few/Almost None,Liu Zheng
Canteen,        UniBar,,Is there brandy?,Yes/No,Yongxin
,,,,,
Canteen,        Hall 2,,When is the last order?,A timeslot,Yongxin
Canteen,        Hall 2,,is it open now?,Yes/No,Liu Zheng
Canteen,        McDonald's,,How many people in the current queue?,A lot/Few/None,Yongxin
,,,,,
Canteen,Hall 2,,Is the seafront still open after mid-night,Yes/No,Jason
Canteen,Hall 2,,Can I use octopus in seafront,Yes/No,Jason
,,,,,
,,,,,
Library,1,,Is there any empty indivdual seat?,Yes/No,Liu Zheng
Library,1,,Is there any empty group table?,Yes/No,Liu Zheng
Library,        G,,How many free computers are there?,Many/Few/None,Leihao
Library,        G,,Is there any empty indivdual seat?,Yes/No,Liu Zheng
Library,        G,,Is there any empty group table?,Yes/No,Liu Zheng
Library,        LG1,,Is there any LC room that is currently available,Yes/No,Leihao
Library,        LG1,,Is there any seat in the Mac room?,Yes/No,Liu Zheng
Library,        LG1,,Is there any seat in the PC room?,Yes/No,Liu Zheng
Library,        LG3,,Is there any free desk in LG3?,Yes/No,Leihao
Library,        LG3,,Which group study room is free in LG3?,Room NO. / None,Leihao
Library,        LG4,,Is there any free desk in LG4?,Yes/No,Leihao
Library,        LG4,,Which group study room is free in LG4?,Room NO. / None,Leihao
,,,,,
Lecture Hall,LTA,,Is there any activity going on?,Yes/No,Liu Zheng
Lecture Hall,LTB,,Is there any activity going on?,Yes/No,Liu Zheng
Lecture Hall,LTC,,Is there any activity going on?,Yes/No,Liu Zheng
Lecture Hall,LTD,,Is there any activity going on?,Yes/No,Liu Zheng
Lecture Hall,LTE,,Is there any activity going on?,Yes/No,Liu Zheng
Lecture Hall,LTF,,Is there any activity going on?,Yes/No,Liu Zheng
Lecture Hall,LTG,,Is there any activity going on?,Yes/No,Liu Zheng
,,,,,
Sports Court,Table Tennis Room,,How many free table tenis tables are there？,Many/Few/None,Ziyuan
Sports Court,Squash Room,,Is there any free space in the squash room?,Yes/No,Ziyuan
Sports Court,Tennis Court,,Is there any free tennis courts?,"Yes,Name/No",Ziyuan
Sports Court,Gym,,How many people are there?,Many/Few/None,Liu Zheng
Sports Court,Gym,,Is there any availble running machine?,Many/Few/None,Liu Zheng
Sports Court,Gym,,Is there any class going on?,Yes/No,Ziyuan
Sports Court,Gym,,When will the current class finish?,Yes/No,Ziyuan
Sports Court,Gym,,Is the gym open today?,Yes/No,Ziyuan
Sports Court,Swimming Pool,,How many people are there?,Many/Few/None,Liu Zheng
Sports Court,Swimming Pool,,Is there any class going on?,Yes/No,Ziyuan
Sports Court,Swimming Pool,,Is the gym open today?,Yes/No,Ziyuan
Sports Court,Football Court,,Is the football court being used now?,Yes/No,Ziyuan
,,,,,
Bus Stop,North,,How many people are waiting for the bus,Many/Few/Almost none,Liu Zheng
Bus Stop,North,,How many people are waiting for the taxi?,Many/Few/Almost none,Liu Zheng
Bus Stop,South,,How many people are waiting for the bus,Many/Few/Almost none,Liu Zheng
,,,,,
Car Park,Car Park,,How many available parking position?,Many/Few/Almost none,Liu Zheng
,,,,,
Shop,LG7 Park n' Shop,,How many people are waiting for the payment,Many/Few/almost none,Liu Zheng
Shop,LG7 Park n' Shop,,Is there any fruit being sold with discount? ,"Yes,Name/No",Liu Zheng
Shop,LG7 Park n' Shop,,Is there any fresh milk being sold with discount? ,"Yes,Name/No",Liu Zheng
Shop,LG5 Student Union's Shop,,Is the shop open?,Yes/No,Liu Zheng
Shop,Souvenir Shop,,Is the shop open?,Yes/No,Liu Zheng
Shop,Souvenir Shop,,Is there any new itew being sold,"Yes,name/No",Liu Zheng
Shop,University Bookstore,,Are there any books on sale now?,Yes/No,Jieying
Clinic,Clinic,,Is the clinic open?,Yes/No,Liu Zheng.
,,,,,
Function Room,Piano Room,,How many pianos are there?,Number,Jieying
Function Room,Piano Room,,Are the piano rooms fully occupied?,Yes/No,Jieying
Function Room,Dancing Room,,Is any class going on?,Yes/No,Liu Zheng
,,,,,
BBQ,BBQ,,Are there any available stove?,Yes/No,Liu Zheng
BBQ,BBQ,,Does it feel cold to sit in the seafront?,Yes/No,Liu Zheng